timestamp,ping_google.com [ms]
1503583683,22.7
1503587283,28.4
1503590883,21.7
1503594483,18.9
1503598083,26.8
1503601683,21.9
1503605283,24.0
1503608883,17.1
1503612483,23.7
1503616083,23.4
1503619683,37.2
1503623283,21.6
1503626883,18.3
1503630483,19.4
1503634083,28.1
1503637683,41.8
1503641283,17.3
1503644883,18.6
1503648483,18.6
1503652083,32.0
1503655683,26.2
1503659283,33.4
1503662883,23.6
1503666483,24.7
1503670083,22.1
1503673683,34.3
1503677283,21.9
1503680883,34.1
1503684483,27.0
1503688083,17.9
1503691683,18.9
1503695283,19.5
1503698883,28.3
1503702483,25.0
1503706084,26.8
1503709683,24.8
1503713283,25.2
1503716883,18.4
1503720483,27.0
1503724083,18.3
1503727684,25.1
1503731283,21.3
1503734883,22.1
1503738483,31.0
1503742083,28.8
1503745683,32.5
1503749283,27.5
1503752883,24.8
1503756483,29.9
1503760083,21.3
1503763683,29.3
1503767283,25.3
1503770883,31.6
1503774483,38.4
1503778083,17.9
1503781683,25.3
1503785283,57.3
1503788883,20.6
1503792483,18.4
1503796083,17.6
1503799683,35.7
1503803283,24.1
1503806883,30.9
1503810483,23.3
1503814083,18.5
1503817683,27.6
1503821283,20.9
1503824883,17.9
1503828483,23.7
1503832083,24.0
1503835683,17.9
1503839283,20.7
1503842883,27.5
1503846483,54.8
1503850083,20.8
1503853683,24.4
1503857283,18.4
1503860883,26.8
1503864483,19.7
1503868083,17.8
1503871683,22.3
1503875283,29.9
1503878883,19.2
1503882483,29.6
1503886083,18.1
1503889683,23.8
1503893283,22.1
1503896883,22.6
1503900483,18.9
1503904083,24.2
1503907683,27.1
1503911283,18.1
1503914883,18.1
1503918483,19.9
1503922083,18.3
1503925683,19.4
1503929283,21.5
1503932883,28.8
1503936483,21.9
1503940083,19.7
1503943683,22.1
1503947283,25.3
1503950883,25.5
1503954483,22.5
1503958083,22.4
1503961683,55.6
1503965283,73.6
1503968883,23.7
1503972483,28.1
1503976083,18.7
1503979683,25.0
1503983283,28.4
1503986883,21.1
1503990483,22.6
1503994083,29.1
1503997683,19.0
1504001283,26.2
1504004883,23.5
1504008483,20.5
1504012083,21.6
1504015683,25.2
1504019283,25.7
1504022883,18.9
1504026483,51.4
1504030083,26.6
1504033683,23.8
1504037283,27.5
1504040883,22.1
1504044483,19.2
1504051683,18.8
1504055283,18.9
1504058883,26.8
1504062483,21.0
1504066083,20.8
1504069683,36.6
1504073284,18.8
1504076883,35.8
1504080483,26.5
1504084083,25.2
1504087683,29.4
1504091283,18.8
1504094883,18.9
1504098484,22.5
1504102083,18.8
1504105683,23.1
1504109283,102.0
1504112883,27.3
1504116483,44.3
1504120084,23.5
1504123683,23.4
1504127283,23.4
1504130883,107.0
1504134483,18.8
1504138083,24.8
1504141683,31.9
1504145283,28.7
1504148883,73.9
1504152483,28.7
1504156083,18.7
1504159683,28.7
1504163283,25.0
1504166883,23.8
1504170483,18.8
1504174083,17.1
1504177683,23.9
1504181283,26.5
1504184883,33.4
1504188483,20.9
