timestamp,ping_google.com [ms]
1503484383,8.3
1503487983,15.8
1503491583,8.59
1503520383,24.7
1503527583,39.3
1503531183,21.7
1503534783,48.0
1503538383,18.3
1503541983,24.3
1503545583,23.6
1503549183,22.3
1503552783,29.1
1503556383,26.7
1503559983,55.9
1503563583,21.2
1503567183,26.9
1503570783,22.3
1503574383,22.8
1503577983,21.7
1503581583,20.9
1503585183,28.0
1503588783,26.8
1503592383,22.1
1503595983,23.3
1503599583,19.5
1503603183,22.9
1503606783,24.1
1503610383,26.0
1503613983,23.6
1503617583,32.3
1503621184,21.6
1503624783,32.2
1503628383,18.0
1503631983,19.2
1503635583,20.2
1503639183,16.8
1503642783,134.0
1503646383,26.1
1503649983,30.6
1503653583,20.8
1503657183,31.1
1503660783,24.8
1503664383,19.0
1503667983,19.6
1503671583,23.3
1503675183,424.0
1503678783,25.4
1503682383,21.1
1503685983,28.2
1503689583,27.9
1503693183,19.6
1503696783,28.5
1503700383,43.5
1503703983,19.9
1503707583,27.1
1503711183,24.0
1503714783,24.6
1503718383,21.0
1503721983,16.7
1503725584,20.4
1503729184,19.0
1503732783,18.9
1503736383,21.7
1503739983,19.1
1503743583,37.9
1503747183,26.1
1503750783,18.5
1503754383,19.3
1503757983,41.5
1503761583,23.0
1503765183,25.8
1503768783,23.1
1503772383,22.4
1503775983,150.0
1503779583,23.9
1503783184,17.7
1503786783,20.7
1503790383,23.1
1503793983,19.1
1503797583,29.0
1503801183,21.6
1503804783,25.5
1503808383,46.0
1503811983,20.7
1503815583,20.6
1503819183,25.1
1503822783,18.2
1503826383,22.4
1503829983,19.0
1503833583,19.6
1503837183,19.2
1503840783,24.2
1503844383,29.5
1503847983,19.3
1503851583,21.5
1503855183,17.9
1503858783,20.8
1503862383,21.1
1503865983,20.3
1503869583,21.8
1503873183,18.3
1503876783,22.2
1503880383,30.5
1503883983,21.1
1503887583,29.8
1503891183,25.0
1503894783,113.0
1503898383,23.1
1503901983,34.8
1503905583,29.1
1503909183,30.5
1503912783,32.1
1503916383,21.9
1503919983,20.5
1503923583,24.3
1503927183,23.1
1503930783,20.6
1503934384,90.1
1503937983,23.0
